# combo=loongarch-glibc
# source=/mnt/d/OS/F7LY/tools/ltp/judge/v1/outputs/loongarch-glibc/parsed.tsv

Combo            | Case Name                | TPASS  | Summary    | Status       | End   
loongarch-glibc  | getrusage01              | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | gettid01                 | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | getuid03                 | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | link02                   | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | llseek02                 | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | lseek07                  | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | mallinfo01               | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | mallinfo02               | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | memcmp01                 | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | memcpy01                 | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | mincore02                | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | mincore03                | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | msgctl02                 | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | msgctl03                 | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | nanosleep02              | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | open01                   | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | open09                   | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | pidfd_send_signal01      | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | pipe03                   | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | pipe07                   | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | pipe2_04                 | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | poll01                   | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | prctl01                  | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | rt_sigqueueinfo01        | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | rt_sigsuspend01          | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | sched_getscheduler02     | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | sched_setparam01         | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | sendfile02               | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | sendfile02_64            | 2      | yes/2      | PASS         | 0     
